# ----------------------------------------
# www.metro.net
# Pages
# 20191201-20191231
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.metro.net/riding/nextrip/,"231,377","145,765",00:06:26,"135,148",71.07%,61.33%,$0.00
www.metro.net/,"194,405","151,986",00:03:02,"140,660",57.92%,55.95%,$0.00
www.metro.net/riding/maps/,"94,461","62,927",00:01:38,"43,895",28.54%,37.62%,$0.00
www.metro.net/riding/nextrip/bus-arrivals/,"79,595","52,696",00:07:41,"51,116",73.68%,64.78%,$0.00
www.metro.net/riding/trip-planner/,"64,926","47,716",00:04:45,"30,118",68.85%,57.74%,$0.00
www.metro.net/riding/fares/,"50,101","40,867",00:02:13,"24,318",61.54%,49.69%,$0.00
www.metro.net/riding/guide/,"16,340","11,078",00:00:30,"1,717",21.26%,9.83%,$0.00
www.metro.net/about/careers/,"13,436","10,016",00:02:30,"4,566",70.04%,65.45%,$0.00
www.metro.net/about/search/,"10,196","8,923",00:01:40,"1,334",66.89%,42.70%,$0.00
www.metro.net/riding/parking/,"10,155","7,120",00:00:36,"4,711",17.92%,14.35%,$0.00
www.metro.net/riding/parking/lotsbyline/,"9,689","7,233",00:02:33,"2,945",54.99%,47.73%,$0.00
www.metro.net/about/metro-service-changes/,"9,256","7,218",00:02:19,"1,324",62.54%,37.54%,$0.00
www.metro.net/riding/maps/001-099/,"7,749","5,480",00:03:02,968,44.68%,46.59%,$0.00
www.metro.net/riding/maps/200-299/,"6,878","4,954",00:03:04,862,44.12%,46.18%,$0.00
www.metro.net/riding/new-years/,"6,782","5,831",00:02:54,"4,241",68.64%,65.03%,$0.00
www.metro.net/riding/maps/100-199/,"6,715","4,990",00:02:49,999,45.36%,50.29%,$0.00
www.metro.net/riding/gameday/,"6,319","4,483",00:03:08,"4,022",53.87%,56.86%,$0.00
www.metro.net/projects/life/,"6,029","5,017",00:02:52,"3,243",69.86%,59.25%,$0.00
www.metro.net/projects/westside/,"5,629","4,679",00:02:04,"3,183",54.74%,48.46%,$0.00
www.metro.net/about/contact/,"5,569","4,611",00:03:09,"1,884",76.52%,60.82%,$0.00
www.metro.net/riding/fares/seniors/,"5,238","4,138",00:02:56,"1,860",65.63%,53.72%,$0.00
www.metro.net/riding/guide/how-ride-rail/,"5,191","4,370",00:02:13,"1,138",57.04%,36.64%,$0.00
www.metro.net/projects/expo-santa-monica/,"5,164","4,443",00:01:40,"3,953",51.00%,53.51%,$0.00
www.metro.net/riding/gameday/buy-pass/,"4,748","4,016",00:02:52,"2,904",63.44%,57.69%,$0.00
www.metro.net/projects/silverline/,"4,729","3,899",00:03:08,"3,403",45.34%,58.30%,$0.00
www.metro.net/service/advisories/,"4,556","3,848",00:02:23,"1,728",77.95%,59.15%,$0.00
www.metro.net/projects/crenshaw_corridor/,"4,371","3,312",00:02:46,"1,653",64.07%,45.92%,$0.00
www.metro.net/about/talent-management/,"4,272","3,084",00:02:11,"1,560",65.45%,59.95%,$0.00
www.metro.net/riding/holiday-free-fares/,"4,185","3,779",00:02:58,"3,204",80.31%,75.79%,$0.00
www.metro.net/artistpool/,"4,170","3,689",00:05:00,"3,149",86.64%,83.17%,$0.00
www.metro.net/riding/maps/700-799/,"3,858","2,626",00:02:35,332,49.26%,39.79%,$0.00
www.metro.net/riding/maps/owl/,"3,652","2,961",00:01:47,"2,181",41.56%,50.36%,$0.00
www.metro.net/interactives/gmaps/go_metro/,"3,604","3,122",00:02:32,"2,050",60.30%,53.83%,$0.00
www.metro.net/riding/fares/collegevocational/,"3,593","2,848",00:02:14,"1,053",58.14%,44.50%,$0.00
