# ----------------------------------------
# www.metro.net
# Pages
# 20200501-20200531
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.metro.net/,"95,047","77,095",00:02:35,"72,233",61.62%,59.56%,$0.00
www.metro.net/riding/nextrip/,"70,920","46,027",00:07:10,"42,234",70.99%,62.84%,$0.00
www.metro.net/riding/nextrip/bus-arrivals/,"30,818","20,482",00:07:53,"19,757",72.75%,64.36%,$0.00
www.metro.net/about/about-metro/metro-tracks-covid-19-cases/,"20,198","18,029",00:03:32,"15,593",86.87%,81.58%,$0.00
www.metro.net/riding/schedules/,"16,795","10,956",00:00:42,"5,485",26.78%,16.71%,$0.00
www.metro.net/riding/trip-planner/,"14,709","11,367",00:04:28,"7,727",69.91%,61.02%,$0.00
www.metro.net/about/careers/,"12,352","8,932",00:02:02,"3,472",65.23%,61.08%,$0.00
www.metro.net/riding/fares/,"6,517","5,671",00:02:11,"3,455",65.40%,54.98%,$0.00
www.metro.net/service/advisories/,"6,104","5,366",00:03:18,"4,214",82.41%,74.74%,$0.00
www.metro.net/projects/connector/street-restoration-little-tokyo/,"4,360","4,058",00:02:25,"3,985",93.05%,90.76%,$0.00
www.metro.net/about/search/,"4,026","3,431",00:01:46,461,65.97%,43.84%,$0.00
www.metro.net/projects/westside/,"3,991","3,204",00:01:57,"2,162",47.00%,43.65%,$0.00
www.metro.net/about/contact/,"3,968","3,274",00:03:10,"1,614",75.31%,64.77%,$0.00
www.metro.net/riding/guide/system-maps/,"3,698","3,138",00:04:13,"1,337",24.65%,56.38%,$0.00
www.metro.net/projects/crenshaw_corridor/,"3,279","2,672",00:02:49,"1,608",69.03%,55.05%,$0.00
www.metro.net/about/metro-service-changes/,"2,889","2,226",00:01:29,426,55.87%,35.31%,$0.00
www.metro.net/riding/guide/L-line/,"2,043","1,838",00:01:55,"1,647",59.99%,56.09%,$0.00
www.metro.net/riding/guide/A-line/,"1,925","1,702",00:02:16,"1,453",58.02%,54.34%,$0.00
